id,text,label_0,label_1,label_2,label_3
1,"The day unfolded in slow motion, each moment pressing on me in a strange way. Even a simple walk through the park felt like it carried more weight than usual. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,0,0,1
2,"This morning started like any other, but somehow felt different. Even a simple walk through the park felt like it carried more weight than usual. Maybe this is just part of figuring things out.",0,0,1,1
3,"The day unfolded in slow motion, each moment pressing on me in a strange way. I tried focusing on work, but my mind wandered to places I didn’t expect. I hope tomorrow feels a little easier than today.",1,0,1,1
4,"It’s odd how small moments can feel so significant when your head is full. I tried focusing on work, but my mind wandered to places I didn’t expect. By the end of the day, I wasn’t sure if I felt lighter or heavier.",0,1,1,0
5,"This morning started like any other, but somehow felt different. Even a simple walk through the park felt like it carried more weight than usual. I guess some days don’t have clear answers, just quiet endings.",0,0,1,0
6,"The day unfolded in slow motion, each moment pressing on me in a strange way. Even a simple walk through the park felt like it carried more weight than usual. I guess some days don’t have clear answers, just quiet endings.",1,0,0,1
7,"It’s odd how small moments can feel so significant when your head is full. The sound of rain outside made me pause and just listen for a while. I guess some days don’t have clear answers, just quiet endings.",0,0,1,0
8,"It’s odd how small moments can feel so significant when your head is full. I tried focusing on work, but my mind wandered to places I didn’t expect. I guess some days don’t have clear answers, just quiet endings.",1,1,0,1
9,"The day unfolded in slow motion, each moment pressing on me in a strange way. I found myself thinking about old memories that I thought I had forgotten. Maybe this is just part of figuring things out.",1,0,1,0
10,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. I hope tomorrow feels a little easier than today.",1,1,1,0
11,"I’ve been carrying a lot on my mind lately, and today was no exception. The sound of rain outside made me pause and just listen for a while. I hope tomorrow feels a little easier than today.",1,0,0,1
12,"The day unfolded in slow motion, each moment pressing on me in a strange way. I tried focusing on work, but my mind wandered to places I didn’t expect. I guess some days don’t have clear answers, just quiet endings.",1,0,0,0
13,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. I hope tomorrow feels a little easier than today.",0,0,1,0
14,"The day unfolded in slow motion, each moment pressing on me in a strange way. Even a simple walk through the park felt like it carried more weight than usual. I guess some days don’t have clear answers, just quiet endings.",1,0,1,1
15,"It’s odd how small moments can feel so significant when your head is full. I tried focusing on work, but my mind wandered to places I didn’t expect. By the end of the day, I wasn’t sure if I felt lighter or heavier.",0,1,0,1
16,"I’ve been carrying a lot on my mind lately, and today was no exception. The sound of rain outside made me pause and just listen for a while. By the end of the day, I wasn’t sure if I felt lighter or heavier.",0,1,0,0
17,"I’ve been carrying a lot on my mind lately, and today was no exception. Even a simple walk through the park felt like it carried more weight than usual. I guess some days don’t have clear answers, just quiet endings.",0,1,0,1
18,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,1,0,0
19,"I’ve been carrying a lot on my mind lately, and today was no exception. Even a simple walk through the park felt like it carried more weight than usual. I guess some days don’t have clear answers, just quiet endings.",0,0,0,1
20,"This morning started like any other, but somehow felt different. I found myself thinking about old memories that I thought I had forgotten. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,1,1,1
21,"This morning started like any other, but somehow felt different. I found myself thinking about old memories that I thought I had forgotten. I hope tomorrow feels a little easier than today.",0,0,0,1
22,"This morning started like any other, but somehow felt different. I found myself thinking about old memories that I thought I had forgotten. Maybe this is just part of figuring things out.",0,1,0,0
23,"The day unfolded in slow motion, each moment pressing on me in a strange way. I tried focusing on work, but my mind wandered to places I didn’t expect. I hope tomorrow feels a little easier than today.",1,1,1,1
24,"It’s odd how small moments can feel so significant when your head is full. I tried focusing on work, but my mind wandered to places I didn’t expect. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,0,1,1
25,"This morning started like any other, but somehow felt different. I tried focusing on work, but my mind wandered to places I didn’t expect. I hope tomorrow feels a little easier than today.",1,0,1,1
26,It’s odd how small moments can feel so significant when your head is full. Even a simple walk through the park felt like it carried more weight than usual. Maybe this is just part of figuring things out.,1,1,1,0
27,"It’s odd how small moments can feel so significant when your head is full. I found myself thinking about old memories that I thought I had forgotten. I guess some days don’t have clear answers, just quiet endings.",0,1,0,0
28,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. I guess some days don’t have clear answers, just quiet endings.",1,1,1,0
29,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. I hope tomorrow feels a little easier than today.",1,0,0,0
30,"This morning started like any other, but somehow felt different. The sound of rain outside made me pause and just listen for a while. I hope tomorrow feels a little easier than today.",1,0,1,0
31,"The day unfolded in slow motion, each moment pressing on me in a strange way. The sound of rain outside made me pause and just listen for a while. I hope tomorrow feels a little easier than today.",0,0,0,1
32,"It’s odd how small moments can feel so significant when your head is full. The sound of rain outside made me pause and just listen for a while. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,1,1,0
33,"I’ve been carrying a lot on my mind lately, and today was no exception. Even a simple walk through the park felt like it carried more weight than usual. I hope tomorrow feels a little easier than today.",1,0,0,1
34,"The day unfolded in slow motion, each moment pressing on me in a strange way. The sound of rain outside made me pause and just listen for a while. I guess some days don’t have clear answers, just quiet endings.",1,0,0,0
35,"This morning started like any other, but somehow felt different. I tried focusing on work, but my mind wandered to places I didn’t expect. I guess some days don’t have clear answers, just quiet endings.",1,1,0,0
36,"The day unfolded in slow motion, each moment pressing on me in a strange way. Even a simple walk through the park felt like it carried more weight than usual. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,0,1,0
37,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,0,1,1
38,"The day unfolded in slow motion, each moment pressing on me in a strange way. The sound of rain outside made me pause and just listen for a while. I hope tomorrow feels a little easier than today.",0,0,0,1
39,"It’s odd how small moments can feel so significant when your head is full. I tried focusing on work, but my mind wandered to places I didn’t expect. I hope tomorrow feels a little easier than today.",0,0,1,0
40,"It’s odd how small moments can feel so significant when your head is full. I tried focusing on work, but my mind wandered to places I didn’t expect. I guess some days don’t have clear answers, just quiet endings.",0,0,1,0
41,"This morning started like any other, but somehow felt different. I found myself thinking about old memories that I thought I had forgotten. I guess some days don’t have clear answers, just quiet endings.",1,0,1,1
42,"This morning started like any other, but somehow felt different. The sound of rain outside made me pause and just listen for a while. I guess some days don’t have clear answers, just quiet endings.",1,0,0,0
43,"This morning started like any other, but somehow felt different. I tried focusing on work, but my mind wandered to places I didn’t expect. Maybe this is just part of figuring things out.",0,1,1,0
44,"I’ve been carrying a lot on my mind lately, and today was no exception. I tried focusing on work, but my mind wandered to places I didn’t expect. Maybe this is just part of figuring things out.",0,0,1,0
45,"This morning started like any other, but somehow felt different. Even a simple walk through the park felt like it carried more weight than usual. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,0,1,1
46,"The day unfolded in slow motion, each moment pressing on me in a strange way. I found myself thinking about old memories that I thought I had forgotten. Maybe this is just part of figuring things out.",0,0,0,1
47,"The day unfolded in slow motion, each moment pressing on me in a strange way. I found myself thinking about old memories that I thought I had forgotten. I guess some days don’t have clear answers, just quiet endings.",1,0,1,1
48,"It’s odd how small moments can feel so significant when your head is full. I tried focusing on work, but my mind wandered to places I didn’t expect. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,0,1,0
49,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. Maybe this is just part of figuring things out.",0,1,0,1
50,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. I hope tomorrow feels a little easier than today.",1,1,0,1
51,"This morning started like any other, but somehow felt different. The sound of rain outside made me pause and just listen for a while. I hope tomorrow feels a little easier than today.",1,1,1,0
52,"This morning started like any other, but somehow felt different. I tried focusing on work, but my mind wandered to places I didn’t expect. By the end of the day, I wasn’t sure if I felt lighter or heavier.",1,0,1,0
53,"I’ve been carrying a lot on my mind lately, and today was no exception. The sound of rain outside made me pause and just listen for a while. I hope tomorrow feels a little easier than today.",1,1,0,1
54,"It’s odd how small moments can feel so significant when your head is full. Even a simple walk through the park felt like it carried more weight than usual. By the end of the day, I wasn’t sure if I felt lighter or heavier.",0,1,0,0
55,"The day unfolded in slow motion, each moment pressing on me in a strange way. The sound of rain outside made me pause and just listen for a while. I guess some days don’t have clear answers, just quiet endings.",0,1,1,0
56,It’s odd how small moments can feel so significant when your head is full. Even a simple walk through the park felt like it carried more weight than usual. Maybe this is just part of figuring things out.,1,0,1,1
57,"I’ve been carrying a lot on my mind lately, and today was no exception. I found myself thinking about old memories that I thought I had forgotten. I guess some days don’t have clear answers, just quiet endings.",0,1,0,0
58,It’s odd how small moments can feel so significant when your head is full. The sound of rain outside made me pause and just listen for a while. I hope tomorrow feels a little easier than today.,1,0,0,1
