id,label,text
1,1,"I have tried to be supportive to her and stay enthusiastic about it until today.  Because I know she really wanted it to happen.  It's her life, her body, her choice completely.

But when she returned from her appointment I felt devastated inside.  She now has that fish lipped look you see on so many of the TikTok/Instagrammers out there.

I can not bear to look at her.  I feel completely broken hearted that the face I loved so much is so different.  She looks disfigured.  Artificial.  Unnatural.  She just doesn't look like my wife any more.  I feel terrible inside and I just don't know what to say to her.  The face I loved has gone and I feel heartbroken."
2,1,"This is kinda a throw away thought but. When you are big or fat people will treat you however they want. Your friends your family instantly assume you are less worthy than themselves. Even other fat people will hate on you. It’s like a wolf smelling blood. I use eating as a way to make myself feel better. And honestly the fact that everyone’s worst WORST nightmare is to be what I am/ was is genuinely such a mind fuck. I have never in my life had one person make me feel comfortable or okay with who I was in the present. Being fat  isn’t healthy nor is it good to glamorious. But blaming me for eating to many hot Cheetos at 8 years old because daddy beats me is crazy work 😭. 

The second I broke up with my ex what does he do? “She was so fat anyways” all over social media like he wasn’t the one coming at me. Being fat shows you the worst sides of people. I won’t go back and im working towards being better for myself. But that lesson will cut me deep for the rest of my life. And honestly its made me loose trust in so many people "
3,2,"I was hanging out with my friend and texts from some dude kept popping up on her car airplay. And I was like oooh who is that? And then she tells me it’s her coworker who is literally fully MARRIED and that the two of them hooked up after a party and have been texting ever since. When I tell you I shut down in that moment. She’s been a friend of mine for over a decade. I would have never expected this kind of behavior from her.

And the more she kept telling me about it the more disgusted I felt. How he told her his relationship has been rocky for 2 years like that makes it okay. If his relationship has been so rocky for so long then why tf hasn’t he asked for a divorce??? Because he’s a coward. Also how he says that his wife doesn’t hang out with him anymore…like okay?? His wife works full time as a nurse and he works part time…he should not expect her energy level to match his and she is literally the breadwinner of the family. He’s an immature loser. 

Also what is BANANAS to me is how she had another married coworker trying to get with her before and how she like immediately set boundaries with him and did not hook up with him “out of respect for his wife.” But now I’m realizing the only reason she didn’t do anything with that guy is because she just didn’t find him attractive. 

And she’s whining to me about how she “doesn’t want to get hurt.” With tears in her eyes. Like. Girl. YOU ENCOURAGED HIS ATTENTION AND CONSENTED TO IT. YOU ARE NOT THE VICTIM IN THIS SITUATION. HIS WIFE IS THE VICTIM. 

I know I can be a judgmental person. I am trying to be a better listener vs reactor when it comes to my friends venting. But I did not hold back because this is where I draw the line. I truly let her know everything I was thinking. Because girl if you are looking for me to just nod and stay quiet you are dead wrong about me. I didn’t yell at her though even though I wanted to. I really truly wanted her to hear me. 

And I could have forgiven her if she told me that it was a one time drunken mistake and she was crying out of guilt or that she couldn’t believe she did it or something showing me regret and that it was just a one time mistake. But nope. I can tell she is fully entertaining the idea of becoming his side piece and having an affair. She said “it just feels right.” If he’s down she’s down. And if she goes down that path then I cannot be her friend anymore. I despise cheaters and people who willingly choose to be a side piece. "
4,2,"I have seen ads for these everywhere! The idea that someone could walk into your house or hell anywhere wearing what looks like normal glasses and record whatever creepy stuff they want too is insane. 

Cameras on your phone is fine. It is noticeable. 

I am not even the type of person to hide things but some privacy would be nice in this dystopian nightmare world we live in.

That is all."
5,3,"I'm not saying this out of cruelty or a desire to see anyone hurt, but out of sheer frustration. Because If someone can't understand how horrible and violating rape is, even after being told a thousand times from a thousand different people in a thousand different ways then, I don't want this to happen to you, but I'm starting to think it might take something happening to you for you to get it. And that's messed up. But I honestly don't know what would make it click for them except experiencing the consequences firsthand. And no, I don't want that to happen to anyone. But the fact that some people will argue about ""grey areas"" of consent or defend scenarios that are clearly abusive is so disgusting and incredibly enraging, I can't help but think maybe the only way they'll understand is by living through the fear and helplessness themselves.

Again this is not me wishing trauma on anyone. This is me trying to say some people are so far removed from human decency that they require trauma to learn compassion. And that's fucking tragic. it isn't even just a lack of empathy issue. It's just the person either being too driven by their own ego and and ignorance that they refuse to see reasoning. I lack empathy and maybe it's because I’ve experienced s/a multiple times but even if I didn’t I’m also not a piece of shit and I am so tired of people needing to ""experience"" trauma to believe it's real"
6,2,"Over the past few months, I have noticed an increase in the stigma against single mothers, and it is honestly concerning. This kind of negativity can seriously affect the mental health of these women. I often see single mothers sharing their experiences online, only to be met with harsh comments blaming them for how the father of their child turned out.

Yes, some women might have ignored red flags, but many were lied to or manipulated. Despite this, the focus always seems to be on blaming the mother. When single mothers talk about relationships, the comments are often filled with men calling them names like ""used goods,"" ""salvage title,"" or comparing them to cars with ""too many miles.""

I understand that everyone has preferences, whether men or women, and that is fine. But men often take it further than just stating a preference. If you do not want to date or marry a single mother, that is your choice. But are these women forcing themselves on anyone? No. Forcing someone into marriage or a relationship is illegal, so there is no need to worry about that. Then why the derogatory comments?

Do people think women are immune to being deceived? Do they believe women have some kind of built-in system that can scan a person’s true character? That is simply not how it works. Instead of tearing these women down, the focus should be on holding fathers accountable for abandoning their children or failing as partners.

Preferences are fine, but they do not justify insulting those who do not meet them. Single mothers are already carrying enough weight on their shoulders. They deserve understanding, not cruel words."
7,3,"There used to be the old stereotype of nerds hanging around expo centers, endlessly debating pointless little details about their favorite shows—like Star Trek or whatever. And sure, it was a negative stereotype but honestly? I’d take that over what fan spaces have become today.

Fan spaces have been overrun by this cancerous celebrity influencer bullshit where the race to become 'the next big thing' is deemed more important than engaging with the series with any sincere passion.

I recently introduced myself to a fan-community of a series I've loved since childhood — no ulterior motives, no ego, not looking for clout, I just naively wanted to meet some new friends to geek out with.

-But instead, all my interactions in the space were with people disinterested in real discourse. They're all too busy reposting meme templates for *✟ The Almighty Algorithm ✟* and making curated reels designed to go viral that all recycle the same clips and basic 'did you know' trivia. When they're not doing that, they're pushing coupon codes and pushing themselves all over their pages, as if THEY'RE what you showed up to see, and not the franchise itself.

There’s just no room for gainless fan discourse anymore, and that blows."
8,1,"As the title says I lost everything. I lost my husband. I have been fully isolated from everyone and everything since I’ve been with my husband. He isolated me for 3 years. He left me Sunday. I’ve been so warped by his narcissism I have zero friends, have cut off family and have just been staring at the ceiling since Sunday. I have no job (he wouldn’t let me work). I have no idea where to even start to building my life. We’ve been together since highschool. I have nothing and no one without him. Hes stationed over seas at the moment but will come home in November to move out. I guess this is a drunk ramble. I have no one to talk to other than my dogs I just needed to vent. Thank you for reading."
9,2,"Today, i was outside with my dog and a young boy came, i told him to not pet the dog, he didn't listen but i was able to get the dog away and out of reach for him. After some time, his father came and he was more looking at the smartphone than after the kid. He just said ""he's special with autism, it's okay"".

This wasn't the dangerous part: Right after the encounter with me, i saw them going on and the dad is on the phone again, while the young boy just got on the street - right in the middle of crossroads, the traffic was going on and the bus almost hit the young boy. The driver had to make an emergeny stop to avoid the boy.

The father? The same again, he doesn't really care. Just like ""well, that's how he is"", without any thoughts about dangerous stuff. He even laughed for a moment when the bus had to stop.

This is no offense against the kid - i'm venting here because of the father. Zero control, zero interest in keeping the kid safe.

The dad was just on the phone and there could be so many things, that could harm the boy. 

We all make mistakes, but some things are 100% no-go's - like with the trains we have in my country, with the public transport, if that kid ever climbs on a train waggon and gets electroducted by the power lines, i don't think the father will stop him before it happens.

And what about the other people? I did nothing wrong, but if my dog had defended himself, i'd be the bad guy and the news headline would be ""dog attacks kid"", i'd get blamed. If the bus driver had not been able to stop in time, the news media would be like ""bad bus driver just kills a kid in an accident""

Some people are really not aware of what it means, to deal with kids that have autism. No interest in keeping them safe."
10,3,"Daughter's kindergarten ""graduation"" ceremony this morning, bunch of people crammed into fairly small space for the number of people there.  Kids performs some songs and each kid has thier name read and gets a certificate.  Nothing crazy but the kids worked hard this year and we're excited.
Anyway, spouse and I are sitting in the crowd trying to listen and we're surrounded by other parents that just wouldn't shut the fuck up.  Just chit chatting the whole goddamn time!  Kids performing? Ohh! Let me tell you about how much I like golf!  Kids getting recognized but they're not yours? OOOOH, here's the latest home improvement project we're working on!  Jesus fucking christ, have a little awareness and respect for the people around you!

Learn to be a fucking adult and allow others around you to enjoy moment without your endless yapping. 

That is all. "
11,1,"I grew up on a ranch and my job was to take care of the horses. I had one my whole life named Jack. We did everything together. We’d go on rides and he’d steal people’s hats and run off laughing. When he was ready to go he’d always press his head against my chest. 

One night after school I went to the horse barn to feed the horses. Everyone came out except Jack. He was laying on the ground in his stall with a broken leg. I put food and water beside him and told my grandfather. He said we’d fix it tomorrow. 

The next day I was pulled out of class and my grandfather and great grandfather (his dad) were there to pick me up. When I slid into the back seat there was a pistol in the seat. They drove me to the horses and explained to me that when a horse breaks their leg you have to shoot them. Otherwise they starve themselves to death. “Shoot him!!?? I can’t shoot him. Jack is my best friend!!” I was 13 years old. 

My great grandfather turned around and said, “Jack is your horse. Good and bad. It’s your responsibility.” 

When we got there they parked and stayed in the car. Told me, “don’t take too long, when you’re done pull yourself together and bring the pistol to us.”

I was barely able to walk I was so upset. I went in and told Jack how sorry I was. He pushed his head into my chest and then I shot him. And scream cried for I don’t know how long. And then I put myself together and went back to the car. They both shook my hand and began calling me “sir” for the first time. My grandfather gave me a gold coin that said “Bravery before safety” and he said, “We half expected to hear a second shot. Well done Sir.”

They coached me on the way home about how I was to behave around my grandmother. The overriding principle was always that you don’t upset the women. So I didn’t cry. I told her matter-of-factly what happened. She tried to comfort me but I basically pushed back because that’s what the old men wanted. 

I felt so cold and lonely and misunderstood. But I had to hold it in. I felt like a monster for killing my friend Jack.

If you’ve never been around horses, let me tell you, they form a bond with you. I believe you can get closer to a horse than you can a dog. They’re so intelligent and have unique personalities. Anyway, I think this event fucked me up. I was raised by old people (great grandmother 105 years old) so I had to behave like a Victorian to gain their approval. And I still act like a Victorian in many ways. I automatically stand up when a woman enters the room, because that’s what they taught me. 

Thanks for reading. "
